,Date,Value
0,2016-09-11,621.65
1,2016-09-12,609.67
2,2016-09-13,610.92
3,2016-09-14,608.82
4,2016-09-15,610.38
5,2016-09-16,609.11
6,2016-09-17,607.04
7,2016-09-18,611.58
8,2016-09-19,610.19
9,2016-09-20,608.66
10,2016-09-21,598.88
11,2016-09-22,597.42
12,2016-09-23,594.08
13,2016-09-24,603.88
14,2016-09-25,601.74
15,2016-09-26,598.98
16,2016-09-27,605.96
17,2016-09-28,605.67
18,2016-09-29,603.85
19,2016-09-30,609.39
20,2016-10-01,614.82
21,2016-10-02,612.98
22,2016-10-03,611.85
23,2016-10-04,609.62
24,2016-10-05,607.18
25,2016-10-06,612.08
26,2016-10-07,617.21
27,2016-10-08,614.74
28,2016-10-09,615.65
29,2016-10-10,617.54
30,2016-10-11,614.77
31,2016-10-12,635.01
32,2016-10-13,635.96
33,2016-10-14,634.02
34,2016-10-15,637.94
35,2016-10-16,641.42
36,2016-10-17,638.97
37,2016-10-18,636.29
38,2016-10-19,629.25
39,2016-10-20,627.72
40,2016-10-21,631.92
41,2016-10-22,655.48
42,2016-10-23,653.25
43,2016-10-24,651.39
44,2016-10-25,655.31
45,2016-10-26,651.45
46,2016-10-27,682.22
47,2016-10-28,687.68
48,2016-10-29,685.91
49,2016-10-30,698.0
50,2016-10-31,702.0
51,2016-11-01,697.01
52,2016-11-02,733.33
53,2016-11-03,686.17
54,2016-11-04,683.69
55,2016-11-05,704.79
56,2016-11-06,712.0
57,2016-11-07,709.96
58,2016-11-08,708.97
59,2016-11-09,720.93
60,2016-11-10,721.5
61,2016-11-11,715.45
62,2016-11-12,703.71
63,2016-11-13,702.28
64,2016-11-14,706.46
65,2016-11-15,710.91
66,2016-11-16,711.73
67,2016-11-17,736.96
68,2016-11-18,747.52
69,2016-11-19,748.98
70,2016-11-20,729.06
71,2016-11-21,738.53
72,2016-11-22,736.97
73,2016-11-23,741.63
74,2016-11-24,737.45
75,2016-11-25,735.64
76,2016-11-26,733.67
77,2016-11-27,727.96
78,2016-11-28,727.31
79,2016-11-29,732.71
80,2016-11-30,742.69
81,2016-12-01,742.05
82,2016-12-02,772.43
83,2016-12-03,764.33
84,2016-12-04,762.97
85,2016-12-05,754.63
86,2016-12-06,756.62
87,2016-12-07,758.99
88,2016-12-08,769.72
89,2016-12-09,770.02
90,2016-12-10,769.08
91,2016-12-11,777.0
92,2016-12-12,777.0
93,2016-12-13,777.99
94,2016-12-14,774.89
95,2016-12-15,776.75
96,2016-12-16,775.88
97,2016-12-17,788.7
98,2016-12-18,788.4
99,2016-12-19,788.67
100,2016-12-20,793.09
101,2016-12-21,824.21
102,2016-12-22,834.97
103,2016-12-23,901.31
104,2016-12-24,891.61
105,2016-12-25,892.6
106,2016-12-26,897.33
107,2016-12-27,930.37
108,2016-12-28,930.34
109,2016-12-29,963.38
110,2016-12-30,952.15
111,2016-12-31,958.12
112,2017-01-01,997.72
113,2017-01-02,1015.97
114,2017-01-03,1013.42
115,2017-01-04,1126.76
116,2017-01-05,994.67
117,2017-01-06,999.65
118,2017-01-07,896.83
119,2017-01-08,908.14
120,2017-01-09,910.49
121,2017-01-10,906.05
122,2017-01-11,785.22
123,2017-01-12,780.92
124,2017-01-13,826.29
125,2017-01-14,817.91
126,2017-01-15,819.55
127,2017-01-16,830.5
128,2017-01-17,903.84
129,2017-01-18,906.6
130,2017-01-19,895.798875
131,2017-01-20,893.6210875
132,2017-01-21,895.64
133,2017-01-22,918.603625
134,2017-01-23,922.0736125
135,2017-01-24,919.97
136,2017-01-25,893.045625
137,2017-01-26,915.95625
138,2017-01-27,915.05
139,2017-01-28,920.31225
140,2017-01-29,915.933
141,2017-01-30,912.19
142,2017-01-31,964.706075
143,2017-02-01,979.703875
144,2017-02-02,983.42
145,2017-02-03,1013.027
146,2017-02-04,1030.999413
147,2017-02-05,1034.07
148,2017-02-06,1024.01375
149,2017-02-07,1050.11
150,2017-02-08,1052.84
151,2017-02-09,976.103
152,2017-02-10,999.1035
153,2017-02-11,997.59
154,2017-02-12,1000.604625
155,2017-02-13,999.877375
156,2017-02-14,1001.2
157,2017-02-15,1012.325988
158,2017-02-16,1035.208125
159,2017-02-17,1035.2
160,2017-02-18,1056.637138
161,2017-02-19,1052.779286
162,2017-02-20,1050.87
163,2017-02-21,1123.788429
164,2017-02-22,1123.223188
165,2017-02-23,1130.01
166,2017-02-24,1174.86625
167,2017-02-25,1150.605714
168,2017-02-26,1150.37
169,2017-02-27,1190.75195
170,2017-02-28,1187.565286
171,2017-03-01,1190.89
172,2017-03-02,1259.410817
173,2017-03-03,1285.14
174,2017-03-04,1287.0
175,2017-03-05,1270.9333
176,2017-03-06,1275.197375
177,2017-03-07,1279.5
178,2017-03-08,1157.3933
179,2017-03-09,1192.469143
180,2017-03-10,1192.09
181,2017-03-11,1179.159875
182,2017-03-12,1227.494625
183,2017-03-13,1227.68
184,2017-03-14,1245.370786
185,2017-03-15,1257.399625
186,2017-03-16,1257.0
187,2017-03-17,1091.171888
188,2017-03-18,952.2323625
189,2017-03-19,967.69
190,2017-03-20,1049.084488
191,2017-03-21,1118.630043
192,2017-03-22,1113.0
193,2017-03-23,1038.789
194,2017-03-24,941.9197143
195,2017-03-25,927.93
196,2017-03-26,956.7863125
197,2017-03-27,1037.22925
198,2017-03-28,1041.04
199,2017-03-29,1040.5755
200,2017-03-30,1037.90455
201,2017-03-31,1034.74
202,2017-04-01,1086.929571
203,2017-04-02,1099.169125
204,2017-04-03,1079.99
205,2017-04-04,1141.600363
206,2017-04-05,1133.079314
207,2017-04-06,1133.53
208,2017-04-07,1190.45425
209,2017-04-08,1181.149838
210,2017-04-09,1184.03
211,2017-04-10,1207.744875
212,2017-04-11,1226.617038
213,2017-04-12,1219.09
214,2017-04-13,1180.023713
215,2017-04-14,1185.260057
216,2017-04-15,1170.36
217,2017-04-16,1186.927413
218,2017-04-17,1205.634875
219,2017-04-18,1176.97
220,2017-04-19,1217.930088
221,2017-04-20,1241.686325
222,2017-04-21,1236.63
223,2017-04-22,1261.311225
224,2017-04-23,1257.988113
225,2017-04-24,1240.84
226,2017-04-25,1279.414688
227,2017-04-26,1309.109875
228,2017-04-27,1288.02
229,2017-04-28,1331.294429
230,2017-04-29,1334.979038
231,2017-04-30,1333.0
232,2017-05-01,1417.172813
233,2017-05-02,1452.076288
234,2017-05-03,1447.55
235,2017-05-04,1508.292125
236,2017-05-05,1533.335071
237,2017-05-06,1518.75
238,2017-05-07,1535.868429
239,2017-05-08,1640.619225
240,2017-05-09,1651.1
241,2017-05-10,1762.88625
242,2017-05-11,1820.990563
243,2017-05-12,1829.0
244,2017-05-13,1771.920013
245,2017-05-14,1776.3165
246,2017-05-15,1780.0
247,2017-05-16,1739.031975
248,2017-05-17,1807.485063
249,2017-05-18,1783.98
250,2017-05-19,1961.520488
251,2017-05-20,2052.909788
252,2017-05-21,2008.84
253,2017-05-22,2090.662313
254,2017-05-23,2287.710288
255,2017-05-24,2256.32
256,2017-05-25,2387.206286
257,2017-05-26,2211.976857
258,2017-05-27,2279.82
259,2017-05-28,2192.9808
260,2017-05-29,2275.9307
261,2017-05-30,2290.02
262,2017-05-31,2285.933914
263,2017-06-01,2399.242671
264,2017-06-02,2409.93
265,2017-06-03,2525.765158
266,2017-06-04,2516.173143
267,2017-06-05,2529.53
268,2017-06-06,2883.313697
269,2017-06-07,2664.920863
270,2017-06-08,2683.03
271,2017-06-09,2827.4913
272,2017-06-10,2845.372857
273,2017-06-11,2898.63
274,2017-06-12,2657.675063
275,2017-06-13,2748.185086
276,2017-06-14,2706.0
277,2017-06-15,2442.48025
278,2017-06-16,2464.959814
279,2017-06-17,2477.94
280,2017-06-18,2507.389252
