,Date,USD (PM)
0,2016-09-12,1324.6
1,2016-09-13,1323.65
2,2016-09-14,1321.75
3,2016-09-15,1310.8
4,2016-09-16,1308.35
5,2016-09-19,1314.85
6,2016-09-20,1313.8
7,2016-09-21,1326.1
8,2016-09-22,1339.1
9,2016-09-23,1338.65
10,2016-09-26,1340.5
11,2016-09-27,1327.0
12,2016-09-28,1322.5
13,2016-09-29,1318.1
14,2016-09-30,1322.5
15,2016-10-03,1313.3
16,2016-10-04,1283.3
17,2016-10-05,1269.4
18,2016-10-06,1254.5
19,2016-10-07,1258.75
20,2016-10-10,1259.5
21,2016-10-11,1253.45
22,2016-10-12,1256.5
23,2016-10-13,1261.05
24,2016-10-14,1251.75
25,2016-10-17,1254.8
26,2016-10-18,1258.2
27,2016-10-19,1269.05
28,2016-10-20,1271.65
29,2016-10-21,1266.05
30,2016-10-24,1265.55
31,2016-10-25,1269.4
32,2016-10-26,1270.5
33,2016-10-27,1266.25
34,2016-10-28,1273.0
35,2016-10-31,1272.0
36,2016-11-01,1288.45
37,2016-11-02,1303.75
38,2016-11-03,1301.0
39,2016-11-04,1302.8
40,2016-11-07,1283.05
41,2016-11-08,1282.35
42,2016-11-09,1281.4
43,2016-11-10,1267.5
44,2016-11-11,1236.45
45,2016-11-14,1213.6
46,2016-11-15,1226.95
47,2016-11-16,1229.2
48,2016-11-17,1226.75
49,2016-11-18,1211.0
50,2016-11-21,1214.25
51,2016-11-22,1212.25
52,2016-11-23,1185.35
53,2016-11-24,1186.1
54,2016-11-25,1187.7
55,2016-11-28,1187.0
56,2016-11-29,1186.55
57,2016-11-30,1178.1
58,2016-12-01,1161.85
59,2016-12-02,1173.5
60,2016-12-05,1162.2
61,2016-12-06,1172.5
62,2016-12-07,1177.65
63,2016-12-08,1171.05
64,2016-12-09,1163.6
65,2016-12-12,1156.1
66,2016-12-13,1158.55
67,2016-12-14,1162.25
68,2016-12-15,1126.95
69,2016-12-16,1131.6
70,2016-12-19,1136.25
71,2016-12-20,1125.7
72,2016-12-21,1133.65
73,2016-12-22,1131.35
74,2016-12-23,1131.35
75,2016-12-28,1134.6
76,2016-12-29,1145.9
77,2016-12-30,1145.9
78,2017-01-03,1151.0
79,2017-01-04,1164.25
80,2017-01-05,1176.7
81,2017-01-06,1175.85
82,2017-01-09,1178.5
83,2017-01-10,1189.5
84,2017-01-11,1178.55
85,2017-01-12,1205.05
86,2017-01-13,1190.35
87,2017-01-16,1203.0
88,2017-01-17,1216.05
89,2017-01-18,1214.75
90,2017-01-19,1196.05
91,2017-01-20,1200.55
92,2017-01-23,1212.85
93,2017-01-24,1216.8
94,2017-01-25,1195.0
95,2017-01-26,1189.7
96,2017-01-27,1184.85
97,2017-01-30,1192.8
98,2017-01-31,1212.8
99,2017-02-01,1203.65
100,2017-02-02,1221.95
101,2017-02-03,1215.2
102,2017-02-06,1226.75
103,2017-02-07,1231.0
104,2017-02-08,1242.1
105,2017-02-09,1236.8
106,2017-02-10,1228.3
107,2017-02-13,1222.25
108,2017-02-14,1230.75
109,2017-02-15,1224.4
110,2017-02-16,1240.55
111,2017-02-17,1241.95
112,2017-02-20,1237.3
113,2017-02-21,1233.2
114,2017-02-22,1236.65
115,2017-02-23,1247.9
116,2017-02-24,1253.65
117,2017-02-27,1257.2
118,2017-02-28,1255.6
119,2017-03-01,1240.4
120,2017-03-02,1238.1
121,2017-03-03,1226.5
122,2017-03-06,1230.95
123,2017-03-07,1216.65
124,2017-03-08,1209.2
125,2017-03-09,1206.55
126,2017-03-10,1202.65
127,2017-03-13,1204.2
128,2017-03-14,1204.6
129,2017-03-15,1198.8
130,2017-03-16,1229.35
131,2017-03-17,1229.6
132,2017-03-20,1232.4
133,2017-03-21,1241.6
134,2017-03-22,1249.05
135,2017-03-23,1247.5
136,2017-03-24,1247.5
137,2017-03-27,1257.55
138,2017-03-28,1257.25
139,2017-03-29,1251.1
140,2017-03-30,1248.8
141,2017-03-31,1244.85
142,2017-04-03,1247.25
143,2017-04-04,1257.65
144,2017-04-05,1245.8
145,2017-04-06,1252.5
146,2017-04-07,1266.45
147,2017-04-10,1250.05
148,2017-04-11,1252.9
149,2017-04-12,1274.3
150,2017-04-13,1284.15
151,2017-04-18,1278.95
152,2017-04-19,1279.05
153,2017-04-20,1282.1
154,2017-04-21,1281.85
155,2017-04-24,1269.4
156,2017-04-25,1267.8
157,2017-04-26,1261.85
158,2017-04-27,1262.8
159,2017-04-28,1266.45
160,2017-05-02,1255.45
161,2017-05-03,1250.3
162,2017-05-04,1228.45
163,2017-05-05,1228.05
164,2017-05-08,1229.8
165,2017-05-09,1220.4
166,2017-05-10,1222.95
167,2017-05-11,1223.15
168,2017-05-12,1231.25
169,2017-05-15,1233.3
170,2017-05-16,1234.2
171,2017-05-17,1257.4
172,2017-05-18,1255.9
173,2017-05-19,1252.0
174,2017-05-22,1258.85
175,2017-05-23,1260.2
176,2017-05-24,1252.55
177,2017-05-25,1256.95
178,2017-05-26,1265.05
179,2017-05-30,1262.7
180,2017-05-31,1266.2
181,2017-06-01,1264.85
182,2017-06-02,1274.95
183,2017-06-05,1279.95
184,2017-06-06,1293.5
185,2017-06-07,1291.0
186,2017-06-08,1273.1
187,2017-06-09,1266.55
188,2017-06-12,1266.4
189,2017-06-13,1262.0
190,2017-06-14,1275.5
191,2017-06-15,1254.55
192,2017-06-16,1255.4
193,2017-06-19,1248.15
194,2017-06-20,1242.2
195,2017-06-21,1242.5
196,2017-06-22,1250.8
197,2017-06-23,1255.7
198,2017-06-26,1245.25
199,2017-06-27,1249.55
200,2017-06-28,1248.0
201,2017-06-29,1243.5
202,2017-06-30,1242.25
203,2017-07-03,1229.25
204,2017-07-04,1223.75
205,2017-07-05,1220.3
206,2017-07-06,1224.9
207,2017-07-07,1215.65
208,2017-07-10,1211.9
209,2017-07-11,1211.05
210,2017-07-12,1218.8
211,2017-07-13,1218.9
212,2017-07-14,1230.3
213,2017-07-17,1234.1
214,2017-07-18,1240.75
215,2017-07-19,1242.15
216,2017-07-20,1238.7
217,2017-07-21,1248.55
218,2017-07-24,1255.55
219,2017-07-25,1254.4
220,2017-07-26,1248.1
221,2017-07-27,1261.1
222,2017-07-28,1264.9
223,2017-07-31,1267.55
224,2017-08-01,1270.95
225,2017-08-02,1269.6
226,2017-08-03,1268.1
227,2017-08-04,1257.7
228,2017-08-07,1258.0
229,2017-08-08,1261.8
230,2017-08-09,1271.05
231,2017-08-10,1284.4
232,2017-08-11,1286.1
233,2017-08-14,1282.3
234,2017-08-15,1270.3
235,2017-08-16,1272.75
236,2017-08-17,1285.15
237,2017-08-18,1295.8
238,2017-08-21,1292.9
239,2017-08-22,1284.2
240,2017-08-23,1286.65
241,2017-08-24,1289.0
242,2017-08-25,1285.3
243,2017-08-29,1318.65
244,2017-08-30,1308.5
245,2017-08-31,1311.75
246,2017-09-01,1320.4
247,2017-09-04,1333.1
248,2017-09-05,1335.55
249,2017-09-06,1337.85
250,2017-09-07,1343.5
251,2017-09-08,1346.25
252,2017-09-11,1334.2
253,2017-09-12,1326.5
254,2017-09-13,1327.55
255,2017-09-14,1324.55
256,2017-09-15,1322.85
257,2017-09-18,1312.1
258,2017-09-19,1309.6
259,2017-09-20,1311.3
260,2017-09-21,1292.1
261,2017-09-22,1294.8
262,2017-09-25,1293.3
263,2017-09-26,1300.05
264,2017-09-27,1282.55
265,2017-09-28,1283.35
266,2017-09-29,1283.1
267,2017-10-02,1273.7
268,2017-10-03,1271.25
269,2017-10-04,1274.25
270,2017-10-05,1274.5
271,2017-10-06,1261.8
272,2017-10-09,1278.75
273,2017-10-10,1291.4
274,2017-10-11,1289.25
275,2017-10-12,1290.25
276,2017-10-13,1299.6
277,2017-10-16,1303.3
278,2017-10-17,1284.75
279,2017-10-18,1280.2
280,2017-10-19,1286.4
281,2017-10-20,1281.2
282,2017-10-23,1274.9
283,2017-10-24,1276.45
284,2017-10-25,1275.0
285,2017-10-26,1273.75
286,2017-10-27,1266.45
287,2017-10-30,1272.0
288,2017-10-31,1270.15
289,2017-11-01,1277.05
290,2017-11-02,1279.2
291,2017-11-03,1267.2
292,2017-11-06,1270.9
293,2017-11-07,1275.6
294,2017-11-08,1284.0
295,2017-11-09,1284.8
296,2017-11-10,1284.3
297,2017-11-13,1277.95
298,2017-11-14,1274.6
299,2017-11-15,1282.2
300,2017-11-16,1280.0
301,2017-11-17,1284.35
302,2017-11-20,1286.2
303,2017-11-21,1283.3
304,2017-11-22,1286.95
305,2017-11-23,1290.35
306,2017-11-24,1290.5
307,2017-11-27,1294.9
308,2017-11-28,1291.85
309,2017-11-29,1283.85
310,2017-11-30,1280.2
311,2017-12-01,1275.5
312,2017-12-04,1273.45
313,2017-12-05,1266.3
314,2017-12-06,1263.7
315,2017-12-07,1255.0
316,2017-12-08,1250.65
317,2017-12-11,1247.15
318,2017-12-12,1240.9
319,2017-12-13,1242.65
320,2017-12-14,1251.0
321,2017-12-15,1254.6
322,2017-12-18,1260.6
323,2017-12-19,1260.35
324,2017-12-20,1264.55
325,2017-12-21,1264.55
326,2017-12-22,1264.55
327,2017-12-27,1279.4
328,2017-12-28,1291.0
329,2017-12-29,1291.0
330,2018-01-02,1312.05
331,2018-01-03,1314.9
332,2018-01-04,1314.5
333,2018-01-05,1317.15
334,2018-01-08,1319.95
335,2018-01-09,1311.0
336,2018-01-10,1319.75
337,2018-01-11,1323.05
338,2018-01-12,1326.8
339,2018-01-15,1339.25
340,2018-01-16,1333.85
341,2018-01-17,1335.65
342,2018-01-18,1332.2
343,2018-01-19,1334.95
344,2018-01-22,1332.6
345,2018-01-23,1333.4
346,2018-01-24,1353.7
347,2018-01-25,1354.95
348,2018-01-26,1353.15
349,2018-01-29,1343.85
350,2018-01-30,1344.9
351,2018-01-31,1345.05
352,2018-02-01,1341.35
353,2018-02-02,1331.15
354,2018-02-05,1333.6
355,2018-02-06,1331.4
356,2018-02-07,1324.65
357,2018-02-08,1315.45
358,2018-02-09,1314.1
359,2018-02-12,1322.3
360,2018-02-13,1325.35
361,2018-02-14,1336.25
362,2018-02-15,1352.45
363,2018-02-16,1352.1
364,2018-02-19,1346.6
365,2018-02-20,1339.85
366,2018-02-21,1330.5
367,2018-02-22,1328.35
368,2018-02-23,1327.95
369,2018-02-26,1333.5
370,2018-02-27,1325.75
371,2018-02-28,1317.85
372,2018-03-01,1307.75
373,2018-03-02,1322.3
374,2018-03-05,1320.4
375,2018-03-06,1331.4
376,2018-03-07,1329.4
377,2018-03-08,1321.0
378,2018-03-09,1320.6
379,2018-03-12,1319.15
380,2018-03-13,1322.75
381,2018-03-14,1323.55
382,2018-03-15,1318.75
383,2018-03-16,1310.1
384,2018-03-19,1312.4
385,2018-03-20,1311.0
386,2018-03-21,1321.35
387,2018-03-22,1329.15
388,2018-03-23,1346.6
389,2018-03-26,1352.4
390,2018-03-27,1341.45
391,2018-03-28,1332.45
392,2018-03-29,1323.85
393,2018-04-03,1333.45
394,2018-04-04,1337.3
395,2018-04-05,1327.7
396,2018-04-06,1331.2
397,2018-04-09,1331.95
398,2018-04-10,1338.95
399,2018-04-11,1350.75
400,2018-04-12,1341.35
401,2018-04-13,1343.7
402,2018-04-16,1349.35
403,2018-04-17,1342.1
404,2018-04-18,1351.45
405,2018-04-19,1348.6
406,2018-04-20,1336.75
407,2018-04-23,1324.3
408,2018-04-24,1328.85
409,2018-04-25,1321.65
410,2018-04-26,1320.7
411,2018-04-27,1321.5
412,2018-04-30,1313.2
413,2018-05-01,1307.1
414,2018-05-02,1304.2
415,2018-05-03,1315.05
416,2018-05-04,1309.4
417,2018-05-08,1306.6
418,2018-05-09,1313.85
419,2018-05-10,1318.8
420,2018-05-11,1324.35
421,2018-05-14,1319.85
422,2018-05-15,1295.0
423,2018-05-16,1291.25
424,2018-05-17,1289.5
425,2018-05-18,1288.3
426,2018-05-21,1288.35
427,2018-05-22,1293.05
428,2018-05-23,1289.0
429,2018-05-24,1304.85
430,2018-05-25,1303.5
431,2018-05-29,1295.5
432,2018-05-30,1300.7
433,2018-05-31,1305.35
434,2018-06-01,1294.6
435,2018-06-04,1295.45
436,2018-06-05,1292.05
437,2018-06-06,1300.1
438,2018-06-07,1297.25
439,2018-06-08,1298.25
440,2018-06-11,1299.6
441,2018-06-12,1298.65
442,2018-06-13,1296.15
443,2018-06-14,1302.75
444,2018-06-15,1285.25
445,2018-06-18,1281.55
446,2018-06-19,1276.15
447,2018-06-20,1274.2
448,2018-06-21,1266.15
449,2018-06-22,1269.15
450,2018-06-25,1268.7
451,2018-06-26,1260.3
452,2018-06-27,1254.6
453,2018-06-28,1251.55
454,2018-06-29,1250.45
455,2018-07-02,1247.8
456,2018-07-03,1251.75
457,2018-07-04,1255.65
458,2018-07-05,1255.5
459,2018-07-06,1255.35
460,2018-07-09,1262.05
461,2018-07-10,1254.0
462,2018-07-11,1251.4
463,2018-07-12,1245.9
464,2018-07-13,1241.7
465,2018-07-16,1241.1
466,2018-07-17,1232.8
467,2018-07-18,1224.5
468,2018-07-19,1217.55
469,2018-07-20,1228.75
470,2018-07-23,1224.95
471,2018-07-24,1228.35
472,2018-07-25,1231.5
473,2018-07-26,1228.25
474,2018-07-27,1223.95
475,2018-07-30,1223.8
476,2018-07-31,1220.95
477,2018-08-01,1219.0
478,2018-08-02,1215.45
479,2018-08-03,1216.3
480,2018-08-06,1209.65
481,2018-08-07,1212.35
482,2018-08-08,1209.55
483,2018-08-09,1214.35
484,2018-08-10,1214.4
485,2018-08-13,1200.35
486,2018-08-14,1197.0
487,2018-08-15,1182.0
488,2018-08-16,1180.4
489,2018-08-17,1178.4
490,2018-08-20,1184.35
491,2018-08-21,1190.95
492,2018-08-22,1196.65
493,2018-08-23,1192.35
494,2018-08-24,1197.7
495,2018-08-28,1212.25
496,2018-08-29,1204.2
497,2018-08-30,1197.3
498,2018-08-31,1202.45
499,2018-09-03,1200.05
500,2018-09-04,1190.85
501,2018-09-05,1196.7
502,2018-09-06,1205.15
503,2018-09-07,1198.9
504,2018-09-10,1196.6
505,2018-09-11,1189.85
506,2018-09-12,1195.6
507,2018-09-13,1209.8
508,2018-09-14,1201.95
509,2018-09-17,1201.9
510,2018-09-18,1200.2
511,2018-09-19,1203.3
512,2018-09-20,1208.35
513,2018-09-21,1198.7
514,2018-09-24,1202.75
515,2018-09-25,1201.9
516,2018-09-26,1194.25
517,2018-09-27,1185.4
518,2018-09-28,1187.25
519,2018-10-01,1189.35
520,2018-10-02,1204.7
521,2018-10-03,1201.2
522,2018-10-04,1203.45
523,2018-10-05,1203.8
524,2018-10-08,1186.95
525,2018-10-09,1185.55
526,2018-10-10,1188.6
527,2018-10-11,1205.55
528,2018-10-12,1219.75
529,2018-10-15,1229.95
530,2018-10-16,1230.7
531,2018-10-17,1229.05
532,2018-10-18,1223.0
533,2018-10-19,1227.85
534,2018-10-22,1222.3
535,2018-10-23,1235.95
536,2018-10-24,1230.55
537,2018-10-25,1230.8
538,2018-10-26,1233.85
539,2018-10-29,1230.8
540,2018-10-30,1225.4
541,2018-10-31,1214.95
542,2018-11-01,1231.15
543,2018-11-02,1232.1
544,2018-11-05,1232.25
545,2018-11-06,1231.6
546,2018-11-07,1229.95
547,2018-11-08,1224.15
548,2018-11-09,1211.4
549,2018-11-12,1205.55
550,2018-11-13,1202.1
551,2018-11-14,1203.25
552,2018-11-15,1211.85
553,2018-11-16,1222.4
554,2018-11-19,1221.6
555,2018-11-20,1223.0
556,2018-11-21,1226.1
557,2018-11-22,1227.05
558,2018-11-23,1223.65
559,2018-11-26,1223.4
560,2018-11-27,1221.2
561,2018-11-28,1213.25
562,2018-11-29,1226.25
563,2018-11-30,1217.55
564,2018-12-03,1230.3
565,2018-12-04,1240.3
566,2018-12-05,1235.9
567,2018-12-06,1242.55
568,2018-12-07,1243.3
569,2018-12-10,1245.35
570,2018-12-11,1245.3
571,2018-12-12,1245.75
572,2018-12-13,1242.75
573,2018-12-14,1235.35
574,2018-12-17,1241.65
575,2018-12-18,1246.3
576,2018-12-19,1255.0
577,2018-12-20,1259.75
578,2018-12-21,1258.15
579,2018-12-24,1258.15
580,2018-12-27,1268.0
581,2018-12-28,1279.0
582,2018-12-31,1279.0
583,2019-01-02,1282.9
584,2019-01-03,1290.45
585,2019-01-04,1279.9
586,2019-01-07,1292.2
587,2019-01-08,1286.45
588,2019-01-09,1288.6
589,2019-01-10,1291.9
590,2019-01-11,1288.95
591,2019-01-14,1292.75
592,2019-01-15,1294.4
593,2019-01-16,1292.3
594,2019-01-17,1290.7
595,2019-01-18,1284.2
596,2019-01-21,1279.55
597,2019-01-22,1282.1
598,2019-01-23,1279.8
599,2019-01-24,1283.7
600,2019-01-25,1293.9
601,2019-01-28,1302.15
602,2019-01-29,1307.55
603,2019-01-30,1310.7
604,2019-01-31,1323.25
605,2019-02-01,1318.7
606,2019-02-04,1312.15
607,2019-02-05,1314.2
608,2019-02-06,1312.4
609,2019-02-07,1310.0
610,2019-02-08,1314.85
611,2019-02-11,1306.4
612,2019-02-12,1310.0
613,2019-02-13,1312.8
614,2019-02-14,1311.45
615,2019-02-15,1316.55
616,2019-02-18,1325.5
617,2019-02-19,1334.15
618,2019-02-20,1343.75
619,2019-02-21,1331.25
620,2019-02-22,1329.05
621,2019-02-25,1331.05
622,2019-02-26,1325.05
623,2019-02-27,1322.85
624,2019-02-28,1319.15
625,2019-03-01,1311.95
626,2019-03-04,1285.4
627,2019-03-05,1283.8
628,2019-03-06,1285.85
629,2019-03-07,1285.3
630,2019-03-08,1296.75
631,2019-03-11,1292.75
632,2019-03-12,1297.05
