,Date,USD (PM)
0,2016-09-11,1324.6
1,2016-09-12,1324.6
2,2016-09-13,1323.65
3,2016-09-14,1321.75
4,2016-09-15,1310.8
5,2016-09-16,1308.35
6,2016-09-17,1308.35
7,2016-09-18,1314.85
8,2016-09-19,1314.85
9,2016-09-20,1313.8
10,2016-09-21,1326.1
11,2016-09-22,1339.1
12,2016-09-23,1338.65
13,2016-09-24,1338.65
14,2016-09-25,1340.5
15,2016-09-26,1340.5
16,2016-09-27,1327.0
17,2016-09-28,1322.5
18,2016-09-29,1318.1
19,2016-09-30,1322.5
20,2016-10-01,1322.5
21,2016-10-02,1313.3
22,2016-10-03,1313.3
23,2016-10-04,1283.3
24,2016-10-05,1269.4
25,2016-10-06,1254.5
26,2016-10-07,1258.75
27,2016-10-08,1258.75
28,2016-10-09,1259.5
29,2016-10-10,1259.5
30,2016-10-11,1253.45
31,2016-10-12,1256.5
32,2016-10-13,1261.05
33,2016-10-14,1251.75
34,2016-10-15,1251.75
35,2016-10-16,1254.8
36,2016-10-17,1254.8
37,2016-10-18,1258.2
38,2016-10-19,1269.05
39,2016-10-20,1271.65
40,2016-10-21,1266.05
41,2016-10-22,1266.05
42,2016-10-23,1265.55
43,2016-10-24,1265.55
44,2016-10-25,1269.4
45,2016-10-26,1270.5
46,2016-10-27,1266.25
47,2016-10-28,1273.0
48,2016-10-29,1273.0
49,2016-10-30,1272.0
50,2016-10-31,1272.0
51,2016-11-01,1288.45
52,2016-11-02,1303.75
53,2016-11-03,1301.0
54,2016-11-04,1302.8
55,2016-11-05,1302.8
56,2016-11-06,1283.05
57,2016-11-07,1283.05
58,2016-11-08,1282.35
59,2016-11-09,1281.4
60,2016-11-10,1267.5
61,2016-11-11,1236.45
62,2016-11-12,1236.45
63,2016-11-13,1213.6
64,2016-11-14,1213.6
65,2016-11-15,1226.95
66,2016-11-16,1229.2
67,2016-11-17,1226.75
68,2016-11-18,1211.0
69,2016-11-19,1211.0
70,2016-11-20,1214.25
71,2016-11-21,1214.25
72,2016-11-22,1212.25
73,2016-11-23,1185.35
74,2016-11-24,1186.1
75,2016-11-25,1187.7
76,2016-11-26,1187.7
77,2016-11-27,1187.0
78,2016-11-28,1187.0
79,2016-11-29,1186.55
80,2016-11-30,1178.1
81,2016-12-01,1161.85
82,2016-12-02,1173.5
83,2016-12-03,1173.5
84,2016-12-04,1162.2
85,2016-12-05,1162.2
86,2016-12-06,1172.5
87,2016-12-07,1177.65
88,2016-12-08,1171.05
89,2016-12-09,1163.6
90,2016-12-10,1163.6
91,2016-12-11,1156.1
92,2016-12-12,1156.1
93,2016-12-13,1158.55
94,2016-12-14,1162.25
95,2016-12-15,1126.95
96,2016-12-16,1131.6
97,2016-12-17,1131.6
98,2016-12-18,1136.25
99,2016-12-19,1136.25
100,2016-12-20,1125.7
101,2016-12-21,1133.65
102,2016-12-22,1131.35
103,2016-12-23,1131.35
104,2016-12-24,1131.35
105,2016-12-25,1131.35
106,2016-12-26,1134.6
107,2016-12-27,1134.6
108,2016-12-28,1134.6
109,2016-12-29,1145.9
110,2016-12-30,1145.9
111,2016-12-31,1145.9
112,2017-01-01,1145.9
113,2017-01-02,1151.0
114,2017-01-03,1151.0
115,2017-01-04,1164.25
116,2017-01-05,1176.7
117,2017-01-06,1175.85
118,2017-01-07,1175.85
119,2017-01-08,1178.5
120,2017-01-09,1178.5
121,2017-01-10,1189.5
122,2017-01-11,1178.55
123,2017-01-12,1205.05
124,2017-01-13,1190.35
125,2017-01-14,1190.35
126,2017-01-15,1203.0
127,2017-01-16,1203.0
128,2017-01-17,1216.05
129,2017-01-18,1214.75
130,2017-01-19,1196.05
131,2017-01-20,1200.55
132,2017-01-21,1200.55
133,2017-01-22,1212.85
134,2017-01-23,1212.85
135,2017-01-24,1216.8
136,2017-01-25,1195.0
137,2017-01-26,1189.7
138,2017-01-27,1184.85
139,2017-01-28,1184.85
140,2017-01-29,1192.8
141,2017-01-30,1192.8
142,2017-01-31,1212.8
143,2017-02-01,1203.65
144,2017-02-02,1221.95
145,2017-02-03,1215.2
146,2017-02-04,1215.2
147,2017-02-05,1226.75
148,2017-02-06,1226.75
149,2017-02-07,1231.0
150,2017-02-08,1242.1
151,2017-02-09,1236.8
152,2017-02-10,1228.3
153,2017-02-11,1228.3
154,2017-02-12,1222.25
155,2017-02-13,1222.25
156,2017-02-14,1230.75
157,2017-02-15,1224.4
158,2017-02-16,1240.55
159,2017-02-17,1241.95
160,2017-02-18,1241.95
161,2017-02-19,1237.3
162,2017-02-20,1237.3
163,2017-02-21,1233.2
164,2017-02-22,1236.65
165,2017-02-23,1247.9
166,2017-02-24,1253.65
167,2017-02-25,1253.65
168,2017-02-26,1257.2
169,2017-02-27,1257.2
170,2017-02-28,1255.6
171,2017-03-01,1240.4
172,2017-03-02,1238.1
173,2017-03-03,1226.5
174,2017-03-04,1226.5
175,2017-03-05,1230.95
176,2017-03-06,1230.95
177,2017-03-07,1216.65
178,2017-03-08,1209.2
179,2017-03-09,1206.55
180,2017-03-10,1202.65
181,2017-03-11,1202.65
182,2017-03-12,1204.2
183,2017-03-13,1204.2
184,2017-03-14,1204.6
185,2017-03-15,1198.8
186,2017-03-16,1229.35
187,2017-03-17,1229.6
188,2017-03-18,1229.6
189,2017-03-19,1232.4
190,2017-03-20,1232.4
191,2017-03-21,1241.6
192,2017-03-22,1249.05
193,2017-03-23,1247.5
194,2017-03-24,1247.5
195,2017-03-25,1247.5
196,2017-03-26,1257.55
197,2017-03-27,1257.55
198,2017-03-28,1257.25
199,2017-03-29,1251.1
200,2017-03-30,1248.8
201,2017-03-31,1244.85
202,2017-04-01,1244.85
203,2017-04-02,1247.25
204,2017-04-03,1247.25
205,2017-04-04,1257.65
206,2017-04-05,1245.8
207,2017-04-06,1252.5
208,2017-04-07,1266.45
209,2017-04-08,1266.45
210,2017-04-09,1250.05
211,2017-04-10,1250.05
212,2017-04-11,1252.9
213,2017-04-12,1274.3
214,2017-04-13,1284.15
215,2017-04-14,1284.15
216,2017-04-15,1284.15
217,2017-04-16,1278.95
218,2017-04-17,1278.95
219,2017-04-18,1278.95
220,2017-04-19,1279.05
221,2017-04-20,1282.1
222,2017-04-21,1281.85
223,2017-04-22,1281.85
224,2017-04-23,1269.4
225,2017-04-24,1269.4
226,2017-04-25,1267.8
227,2017-04-26,1261.85
228,2017-04-27,1262.8
229,2017-04-28,1266.45
230,2017-04-29,1266.45
231,2017-04-30,1266.45
232,2017-05-01,1255.45
233,2017-05-02,1255.45
234,2017-05-03,1250.3
235,2017-05-04,1228.45
236,2017-05-05,1228.05
237,2017-05-06,1228.05
238,2017-05-07,1229.8
239,2017-05-08,1229.8
240,2017-05-09,1220.4
241,2017-05-10,1222.95
242,2017-05-11,1223.15
243,2017-05-12,1231.25
244,2017-05-13,1231.25
245,2017-05-14,1233.3
246,2017-05-15,1233.3
247,2017-05-16,1234.2
248,2017-05-17,1257.4
249,2017-05-18,1255.9
250,2017-05-19,1252.0
251,2017-05-20,1252.0
252,2017-05-21,1258.85
253,2017-05-22,1258.85
254,2017-05-23,1260.2
255,2017-05-24,1252.55
256,2017-05-25,1256.95
257,2017-05-26,1265.05
258,2017-05-27,1265.05
259,2017-05-28,1265.05
260,2017-05-29,1262.7
261,2017-05-30,1262.7
262,2017-05-31,1266.2
263,2017-06-01,1264.85
264,2017-06-02,1274.95
265,2017-06-03,1274.95
266,2017-06-04,1279.95
267,2017-06-05,1279.95
268,2017-06-06,1293.5
269,2017-06-07,1291.0
270,2017-06-08,1273.1
271,2017-06-09,1266.55
272,2017-06-10,1266.55
273,2017-06-11,1266.4
274,2017-06-12,1266.4
275,2017-06-13,1262.0
276,2017-06-14,1275.5
277,2017-06-15,1254.55
278,2017-06-16,1255.4
279,2017-06-17,1255.4
280,2017-06-18,1248.15
281,2017-06-19,1248.15
282,2017-06-20,1242.2
283,2017-06-21,1242.5
284,2017-06-22,1250.8
285,2017-06-23,1255.7
286,2017-06-24,1255.7
287,2017-06-25,1245.25
288,2017-06-26,1245.25
289,2017-06-27,1249.55
290,2017-06-28,1248.0
291,2017-06-29,1243.5
292,2017-06-30,1242.25
293,2017-07-01,1242.25
294,2017-07-02,1229.25
295,2017-07-03,1229.25
296,2017-07-04,1223.75
297,2017-07-05,1220.3
298,2017-07-06,1224.9
299,2017-07-07,1215.65
300,2017-07-08,1215.65
301,2017-07-09,1211.9
302,2017-07-10,1211.9
303,2017-07-11,1211.05
304,2017-07-12,1218.8
305,2017-07-13,1218.9
306,2017-07-14,1230.3
307,2017-07-15,1230.3
308,2017-07-16,1234.1
309,2017-07-17,1234.1
310,2017-07-18,1240.75
311,2017-07-19,1242.15
312,2017-07-20,1238.7
313,2017-07-21,1248.55
314,2017-07-22,1248.55
315,2017-07-23,1255.55
316,2017-07-24,1255.55
317,2017-07-25,1254.4
318,2017-07-26,1248.1
319,2017-07-27,1261.1
320,2017-07-28,1264.9
321,2017-07-29,1264.9
322,2017-07-30,1267.55
323,2017-07-31,1267.55
324,2017-08-01,1270.95
325,2017-08-02,1269.6
326,2017-08-03,1268.1
327,2017-08-04,1257.7
328,2017-08-05,1257.7
329,2017-08-06,1258.0
330,2017-08-07,1258.0
331,2017-08-08,1261.8
332,2017-08-09,1271.05
333,2017-08-10,1284.4
334,2017-08-11,1286.1
335,2017-08-12,1286.1
336,2017-08-13,1282.3
337,2017-08-14,1282.3
338,2017-08-15,1270.3
339,2017-08-16,1272.75
340,2017-08-17,1285.15
341,2017-08-18,1295.8
342,2017-08-19,1295.8
343,2017-08-20,1292.9
344,2017-08-21,1292.9
345,2017-08-22,1284.2
346,2017-08-23,1286.65
347,2017-08-24,1289.0
348,2017-08-25,1285.3
349,2017-08-26,1285.3
350,2017-08-27,1285.3
351,2017-08-28,1318.65
352,2017-08-29,1318.65
353,2017-08-30,1308.5
354,2017-08-31,1311.75
355,2017-09-01,1320.4
356,2017-09-02,1320.4
357,2017-09-03,1333.1
358,2017-09-04,1333.1
359,2017-09-05,1335.55
360,2017-09-06,1337.85
