,LSTM
0,7941.96875
1,7867.52978515625
2,7719.2162109375
3,7779.490625
4,7695.22734375
5,7715.73828125
6,7940.60009765625
7,8131.43291015625
8,8320.224609375
9,8457.683984375
10,8671.8462890625
11,8725.537109375
12,8830.21015625
13,9004.7765625
14,9308.34609375
15,9692.307421875
16,9973.809375
17,10229.9583984375
18,10583.5701171875
19,11155.7705078125
20,11239.30390625
21,11326.9529296875
22,11590.9109375
23,11340.355078125
24,11064.49296875
25,11004.5279296875
26,11357.2771484375
27,11414.9328125
28,11227.059375
29,11212.3259765625
30,11148.7388671875
31,11389.45234375
32,11551.4509765625
33,11621.1669921875
34,11460.6455078125
35,11402.3044921875
36,11422.4572265625
37,10945.8662109375
38,10876.2376953125
39,10565.6205078125
40,10260.8353515625
41,10326.6212890625
42,10295.68359375
43,10526.3689453125
44,10436.1376953125
45,10316.70546875
46,10034.0341796875
47,9818.333203125
48,9813.1560546875
49,9744.4140625
50,9688.097265625
51,9627.0865234375
52,9540.9705078125
53,9536.3271484375
54,9629.6318359375
55,9789.744921875
56,9917.70703125
57,10091.716015625
58,10271.375
59,10596.32578125
60,10810.829296875
61,11022.3958984375
62,11267.6310546875
63,11392.299609375
64,11335.1728515625
65,11320.5373046875
66,11347.362890625
67,11199.423828125
68,10846.9150390625
69,10696.8818359375
70,10602.458984375
71,10480.812109375
72,10348.12578125
73,10426.5814453125
74,10452.1603515625
75,10200.34609375
76,9940.2091796875
77,10158.090234375
78,10073.7958984375
79,10021.4548828125
80,10059.3626953125
81,10069.4744140625
82,9915.51796875
83,9722.275390625
84,9611.837109375
85,9558.883984375
86,9611.2076171875
87,9824.8138671875
88,10020.5681640625
89,10114.290625
90,10140.3337890625
91,10082.4130859375
92,10096.917578125
93,10126.5564453125
94,10135.8646484375
95,10100.8224609375
96,10106.609765625
97,10196.90546875
98,10215.6544921875
99,10202.06015625
100,10171.5404296875
101,10119.1298828125
102,10019.12109375
103,9896.53203125
104,10110.0787109375
105,10063.3794921875
106,10003.692578125
107,9976.561328125
108,9875.6298828125
109,9480.723828125
110,9188.394921875
111,8872.34453125
112,8713.9037109375
113,8585.05078125
114,8426.2830078125
115,8403.3716796875
116,8335.55498046875
117,8280.41572265625
118,8149.52978515625
119,8045.500390625
120,8042.186328125
121,7920.5126953125
122,8020.4310546875
123,8045.31796875
124,8206.72900390625
125,8305.19150390625
126,8242.6462890625
127,8244.68564453125
128,8220.96630859375
129,8242.58564453125
130,8191.90283203125
131,8130.10517578125
132,8164.3267578125
133,8097.8455078125
134,8057.74189453125
135,8049.3736328125
136,8023.727734375
137,7940.442578125
138,7673.4064453125
139,7561.52001953125
140,8169.189453125
141,8500.95263671875
142,8796.516796875
143,8900.584375
144,9040.4916015625
145,9044.2416015625
146,8999.2357421875
147,9036.4451171875
148,9123.73984375
149,9206.8388671875
150,9338.1888671875
151,9341.4568359375
152,9336.401953125
153,9263.8046875
154,9095.7326171875
155,8984.8775390625
156,8982.9712890625
157,8859.858203125
158,8780.8703125
159,8684.4076171875
160,8595.48212890625
161,8676.65234375
162,8592.46259765625
163,8534.91591796875
164,8380.15673828125
165,8291.76865234375
166,8212.93876953125
167,7979.12724609375
168,7756.7919921875
169,7639.742578125
170,7384.605859375
171,7360.43212890625
172,7298.80625
173,7398.665625
174,7352.54931640625
175,7453.1525390625
176,7391.3306640625
177,7300.65322265625
178,7251.72099609375
179,7243.8041015625
180,7206.40087890625
181,7314.82177734375
182,7408.0724609375
183,7456.6341796875
184,7473.44248046875
185,7425.43583984375
186,7349.0953125
187,7310.89921875
188,7277.2572265625
189,7199.7611328125
190,7095.394140625
191,7065.03681640625
192,7143.1375
193,6969.96416015625
194,7194.791015625
195,7149.46572265625
196,7177.4923828125
197,7164.148046875
198,7316.4677734375
199,7298.28876953125
200,7273.5076171875
201,7264.997265625
202,7265.60068359375
203,7291.69619140625
204,7330.5078125
205,7342.61552734375
206,7293.4173828125
